NOME DEL FILE; SORGENTE RUMOROSA; POSIZIONE OPERATORE; POSIZIONE VOCE; NOME VOCE;SECONDO NUMERO 1 (VAD e LEQ);SECONDO NUMERO 2 (VAD e LEQ);SECONDO NUMERO 3 (VAD e LEQ);SECONDO NUMERO 4 (VAD e LEQ);SECONDO NUMERO 5 (VAD e LEQ);SECONDO NUMERO 6 (VAD e LEQ);SECONDO NUMERO 7 (VAD e LEQ);LIVELLO MEDIO (VAD e LEQ)
amb_comevcaffè_1_fede.wav; rumore ambientale; comevcaffè; 1 metri da comevcaffè; fede;0.30449;0.72576;0.63526;0.57813;0.50829;0.33439;0.16294;0.47247
;;;;;88.4;90.5;89.4;90.4;89.7;89.1;91.5;89.9
amb_comevcaffè_1_luca.wav; rumore ambientale; comevcaffè; 1 metri da comevcaffè; luca;0.62154;0.95959;0.99393;0.99055;0.97069;0.97783;0.96907;0.92499
;;;;;96.8;94.1;94.8;95.5;94.8;93.5;93.3;94.7
amb_comevcaffè_1_luca2.wav; rumore ambientale; comevcaffè; 1 metri da comevcaffè; luca2;0.03962;0.33093;0.25670;0.18356;0.15413;0.19881;0.10970;0.18391
;;;;;89.3;90.8;89.4;92.5;88.9;89.2;88.7;89.8
amb_comevcaffè_2_fede.wav; rumore ambientale; comevcaffè; 2 metri da comevcaffè; fede;0.05364;0.52795;0.17053;0.17393;0.09019;0.09173;0.03161;0.16641
;;;;;88.3;91.9;91.1;90.0;89.6;90.2;90.6;90.2
amb_comevcaffè_2_luca.wav; rumore ambientale; comevcaffè; 2 metri da comevcaffè; luca;0.21601;0.61972;0.74389;0.35700;0.17646;0.15510;0.18609;0.35514
;;;;;90.0;90.5;92.0;90.0;91.7;89.9;90.1;90.6
amb_comevcaffè_2_luca2.wav; rumore ambientale; comevcaffè; 2 metri da comevcaffè; luca2;0.01990;0.01448;0.03803;0.06189;0.02141;0.02754;0.00877;0.02794
;;;;;87.7;90.8;88.9;92.2;89.3;89.1;88.5;89.5
amb_comevcaffè_3_fede.wav; rumore ambientale; comevcaffè; 3 metri da comevcaffè; fede;0.11551;0.11094;0.01949;0.07220;0.01329;0.05868;0.04147;0.06221
;;;;;86.5;88.7;87.7;88.4;88.6;88.2;89.6;88.2
molaamano_1_1_luca.wav; molaamano; 1 metri dal rumore; 1 metri dal rumore; luca;0.31078;0.94469;0.98444;0.99422;0.99695;0.97069;0.92728;0.87415
;;;;;99.1;99.8;100.6;101.3;102.6;99.2;97.6;100.0
molaamano_1_1_luca2.wav; molaamano; 1 metri dal rumore; 1 metri dal rumore; luca2;0.34996;0.70865;0.70018;0.84961;0.84059;0.80435;0.84372;0.72497
;;;;;95.9;97.7;97.9;97.4;97.2;96.7;96.4;97.0
